track_name,artist_name,genre,lyrics
Magnolia,Playboi Carti,pop,"

[intro: playboi carti & jamie foxx]
yo, pi'erre, you wanna come out here?
uh

[chorus]
in new york i milly rock (rock)
hide it in my sock (sock)
running from an opp (opp)
and i shoot at opp (opp)
uh, uh (what?)
and i'm on the block (what? what? what? what?)
and i'm on the block (what?)
in new york i milly rock (hello?)
hide it in my sock (what?)
hide it in my sock (what?)
selling that rerock (what? what? what? what? what?)
in new york i milly rock (ooh)
hide it in my sock (woah)
used to sell rerock (what?)
runnin' from the cops (woah)
shootin' at these opps (woah)

[verse: playboi carti & jamie foxx]
(yo, pi'erre, you wanna come out here?)
(woah)
shooting at these opps (what?)
'cause i run they block (what?)
uh, give me top (top, uh)
in my drop-top
all these hoes gon' flock (flock, flock)
when i drop, yeah (drop, drop)
all these hoes gon' flock (flock, flock)
when i drop, yeah (drop, drop)
all these hoes gon' flock (flock, flock)
when i drop, uh (drop, drop)
woo, woo (phew)
woo, woo (beep)
woo, woo (beep)
woo, woo (beep)
all these hoes want cash (cash)
all these hoes want bags
fucking on your bitch, uh (beep)
uh, uh, i'm her dad, yeah, uh
all these niggas sound like cash, sound like cash, ooh (blah)
i'm a soldier, ooh (what?)
damn, i thought i told you, ooh (what?)
shootin' like a soldier, ooh (beep)
like i'm from magnolia, ooh (what?)
all these niggas (what? what?)
always fold (what? what?)
big bank (what? what?)
never fold (what?)
i'm sippin' act' (what?)
fill that shit slowly (hello?)
bitches on me (what?)
say she like my clothing (yeah)
i'm in london (what?)
yung carti global (what?)
designer is on me (phew)
call it dirty laundry (phew)
all these bitches want yung carti, yung carti (what? yeah)
ayy, yung carti, yung carti (what? what?)
(hop in the bit', hop in the bit', what?)
yung carti, yung carti (what?)
yeah, all of your bitches, they loose, hold on
all of your bitches, they loose, hold on (yeah)
all of my bitches, they rich, hold on
and they stay rockin' that rick, hold on
(yeah, yeah, yeah, yeah, yeah, yeah)
uh, what? what? hold on, what? what? uh (yeah)
rich, rich (rich)
cash carti, bitch (bitch)
rich, bitch (hold on)
got a rich clique (hold on)
i'm suckin' on the clit (hold on)
she suckin' on the dick (yeah)
give that ho a tip (yeah)
told her, ""buy some kicks"" (kicks)
ooh, then i brush my teeth (what?)
hop up in the whip
glocky in the whip (glocky)
glocky in the whip (yeah)
and i'm cocky, fuckin' on a thotty
she just wanna plot me, bitch can't stop me (stop me)
i'm ridin' in a masi (what?)
this ain't even my masi (nah)
hope that's not your thotty
your bitch look like a auntie (what? what?)
walked in with ashanti (what?)
damn, that look like 'shanti (what?)
damn, that look like carti (yeah)
i think that be yung carti (yeah, what?)
heard he spent a hundred on a fucking watch piece, that's filthy (phew, what? woah, woah)

[chorus]
in new york i milly rock (what?)
hide it in my sock (what? what?)
running from an opp (what? what?)
and i shoot at opp (what? what?)
uh, uh, uh (phew)
and i'm on the block (phew)
uh, uh, uh (hello?)
and i'm on the block (what?)
in new york i milly rock (what?)
hide it in my sock (what?)
hide it in my sock (sock)
selling that rerock (rerock)
what? what? (what?)
what? uh, what?
in new york i milly rock (what?)
hide it in my sock (what?)
use to sell rerock, uh
runnin' from the cops, uh
shootin' at these opps

[outro: playboi carti & jamie foxx]
you know what i'm sayin'?
(yo, pi'erre, you wanna come out here?)
yeah, bitch ass nigga, fuck that nigga, man

"
A Lie,French Montana,pop,"

[intro: max b & french montana]
uh, boss don shit
(coke boy, baby)
thought i'd have a little fun with it
montana, ow
you know what it is when you hear that haaaaan
yep, we gon' get it in, baby
(la música de harry fraud)
oh, you here, baby, yeah
you bring it back in, skrrt, skrrt

[verse 1: the weeknd]
shawty in the way, got the mothafuckin' fix, yeah
sippin' all day got me leanin' off the kickstand
house on my neck, 'nother house on my wristband
girls really love me like a mothafuckin' six pack
no time for restin' (restin')
my life's invested in bein' a fuckin' legend (legend)
an icon, tryna cement it ('ment it)
i'm treatin' every year like it's game 7 (game 7)
i feel like problems in my city been deaded (deaded)
i feel like me and my niggas are unthreatened (threatened)
my new girl hate it when i'm always spendin' (all the time)
i guess i gotta get used to it 'cause of my exes
but it's true, though (but it's true, though)
but it's true, though (but it's true, though)
i'm in the cold, rep the north like i'm trudeau (yeah)
yeah it's true, though (true, though)
yeah it's true, though (true, though)
my heart cold but it really beat for you, though

[chorus: the weeknd & french montana]
ooh, he do it better, that's a lie (that's a lie, yeah)
he at my level, that's a lie (that's a lie, yeah)
a hundred thousand for the time, yeah
they fuckin' with us, that's a lie, ooh, yeah
a lie, a lie, a lie (a lie) (that's a lie)
a lie, a lie, a lie (a lie) (that's a lie)
a lie, a lie, a lie (a lie) (that's a lie)
a lie, a lie, a lie (a lie) (that's a lie)
a lie, a lie, a lie (a lie) (that's a lie)
a lie, a lie, a lie (a lie) (skrrt, skrrt)
all of my homies gonna shine (gonna shine)
you fuckin' with us, that's a lie (yeah)

[verse 2: french montana & the weeknd]
it's true, though (it's true, though)
it, it's true, though (it's true, though)
i hope the box don't spread like the rumors
sad, but it's true, though (it's true, though)
it's true, though (it's true, though)
we was bite down, now we true'd up (a lie)
she, she say the baby mine's, that's a lie (that's a lie)
if i ain't the hottest in the city, that's a lie (that's a lie)
school, teach you how to read the lines (read the lines)
in these streets, gotta read between the lines
room, room full of ether clouds, you don't want no smoke
'fore, before i choke, baby, i'ma choke 'em from their choker (yeah)
only the red in my eyes see where you come from
we, we the gang, either you run with or run from
i, i'm the head, rockin' bet it's re-up in the sock
me, me and max hit the block like karl malone, stockton
and if i ain't the new chapo, that's a lie (that's a lie)
and if he try and tell you we gon' stop, that's a lie

[chorus: the weeknd & french montana]
ooh, he do it better, that's a lie (that's a lie, yeah)
he at my level, that's a lie (that's a lie, yeah)
a hundred thousand for the time, yeah
they fuckin' with us, that's a lie, ooh, yeah
a lie, a lie, a lie, a lie
a lie, a lie, a lie, a lie
all of my homies gonna shine (gonna shine)
you fuckin' with us, that's a lie (yeah)

[verse 3: max b]
i got it a little cheap, baby you should come and play
daddy will pay the cab, maybe stay for a day
no one got it but me
bitches, they call me whore, son, more buns
mami bent over for hum
give her, what she want and let her get it good
put it on her tongue
told me, ""charly, boy you gotta give
fix me with a lot of dick
hit me with a lot of kick
show me you the man""
bustin' quickies and dippin'
that be somethin' i can't stand
other plans, baby, had of late
tried to put me in a twirl like the cheerio
i ain't talkin' cereal
put me in a video, i can make a wave
baby girl, comin' home and you can't stay, oww

[chorus: the weeknd & french montana]
ooh, he do it better, that's a lie (that's a lie, yeah)
he at my level, that's a lie (that's a lie, yeah)
a hundred thousand for the time, yeah
they fuckin' with us, that's a lie, ooh, yeah
a lie, a lie, a lie (a lie) (that's a lie)
a lie, a lie, a lie (a lie) (that's a lie)
a lie, a lie, a lie (a lie) (that's a lie)
a lie, a lie, a lie (a lie) (that's a lie)
a lie, a lie, a lie (a lie) (that's a lie)
a lie, a lie, a lie (a lie) (skrrt, skrrt)
all of my homies gonna shine (gonna shine)
you fuckin' with us, that's a lie (yeah)

"
Man's Not Hot,Big Shaq,pop,"

[intro]
yo
big shaq, the one and only
man's not hot, never hot
skrrat (gottionem), skidi-kat-kat
boom

[verse 1]
two plus two is four
minus one, that's three, quick maths
every day, man's on the block
smoke trees (ah)
see your girl in the park
that girl is a uckers
when the ting went quack-quack-quack
you man were ducking (you man ducked)
hold tight, asznee (my brudda)
he's got the pumpy (big ting)
hold tight, my man (my guy)
he's got the frisbee (few)
i trap, trap, trap on the phone
movin' that cornflakes (uh)
rice krispies
hold tight, my girl whitney (my g)
on, on, on, on, on the road doin' 10 toes
like my toes (like my toes)
you man thought i froze
i see a peng girl, then i pose (chilin')
if she ain't on it, i ghost
hah, look at your nose (check your nose, fam)
you donut
nose long like garden hose

[chorus]
i tell her man's not hot
i tell her man's not hot
the girl told me, ""take off your jacket""
i said, ""babes, man's not hot"" (never hot)
i tell her man's not hot (never hot)
i tell her man's not hot (never hot)
the girl told me, ""take off your jacket""
i said, ""babes, man's not hot"" (never hot)

[verse 2]
hop out the four-door with the .44
it was one, two, three and four (us man)
chillin' in the corridor (yo)
your dad is forty-four (uh)
and he's still callin' man for a draw (look at him)
let him know
when i see him
i'm gonna spin his jaw (finished)
take man's twix by force (take it)
send man's shop by force (send him)
your girl knows i've got the sauce (flexin')
no ketchup (none)
just sauce (saucy)
raw sauce (ah)
yo, boom, ah

[refrain]
the ting goes skrrah (ah)
pop, pop, ka-ka-ka (ka-ka)
skidi-ki-pop-pop (pah)
and a pu-pu-brr-boom (boom)
ski-ya (ah)
du-du-ku-ku-dun-dun (dun)
poom, poom
you dun know

[chorus]
i tell her man's not hot (man's not)
i tell her man's not hot (never hot)
the girl told me, ""take off your jacket""
i said, ""babes, man's not hot"" (never hot)
i tell her man's not hot
i tell her man's not hot (never hot)
the girl told me, ""take off your jacket""
i said, ""babes, man's not hot""

[bridge]
man can never be hot (never hot)
perspiration ting (spray dat)
lynx effect (come on)
you didn't hear me, did you? (nah)
use roll-on (use that)
or spray (shh)
but either way, a-b-c-d (alphabet ting)

[refrain]
the ting goes skrrah (ah)
pop, pop, ka-ka-ka (ka)
skidi-ki-pop-pop (pah)
and a pu-pu-brr-boom (boom)
ski-ya (ah)
du-du-ku-ku-dun-dun (dun)
poom, poom
you dun know

[outro]
big shaq
man's not hot
i tell her man's not hot (never hot)
forty degrees out, man's not hot (come on)
yo (ah)
in the sauna, man's not hot (never hot)
yeah, skidi-ka-pop-pop

"
No Role Modelz,J. Cole,pop,"

[verse 1]
first things first: rest in peace uncle phil
for real
you the only father that i ever knew
i get my bitch pregnant, i'ma be a better you
prophecies that i made way back in the ville
fulfilled
listen, even back when we was broke, my team ill
martin luther king would'a been on dreamville, talk to a nigga

[pre-chorus]
one time for my l.a. sisters
one time for my l.a. hoes
lame niggas can't tell the difference
one time for a nigga who know

[chorus 1]
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved

[verse 2]
no role models and i'm here right now
no role models to speak of
searchin' through my memory, my memory, i couldn't find one
last night i was gettin' my feet rubbed by the baddest bitch
not trina but i swear to god, this bitch'll make you call your girl up
and tell her, ""hey, what's good?
sorry i'm never comin' home, i'ma stay for good.""
then hang the phone up and proceed to lay the wood
i came fast like 9-1-1 in white neighborhoods
ain't got no shame 'bout it
she think i'm spoiled and i'm rich 'cause i can have any bitch
i got defensive and said, ""nah, i was the same without it.""
but then i thought back, back to a better me
before i was a b-list celebrity
'fore i started callin' bitches ""bitches"" so heavily
back when you could get a platinum plaque without no melody, you wadn't sweatin' me

[pre-chorus]
one time for my l.a. sisters
one time for my l.a. hoes
lame niggas can't tell the difference
one time for a nigga who know

[chorus 1]
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved

[verse 3]
i want a real love, dark-skinned aunt viv love
that jada and that will love
that leave a toothbrush at your crib love
and you ain't gotta wonder whether that's your kid love
nigga, i don't want no bitch from reality shows
out-of-touch-with-reality hoes
out in hollywood bringin' back five or six hoes
fuck 'em then we kick 'em to the do', nigga, you know how it go
she deserved that, she a bird, it's a bird trap
you think if i didn't rap she would flirt back?
takin' off her skirt, let her wear my shirt, 'fore she leave
""i'ma need my shirt back"" (nigga, you know how it go)

[pre-chorus]
one time for my l.a. sisters
one time for my l.a. hoes
lame niggas can't tell the difference
one time for a nigga who know

[chorus 1]
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved

[interlude: george w. bush]
there's an old saying in tennessee—i know it's in texas, probably in tennessee—that says, fool me once… shame on… shame on you. fool me—can't get fooled again.

[bridge]
fool me one time, shame on you (ayy)
fool me twice, can't put the blame on you (ayy)
fool me three times, fuck the peace sign
load the chopper, let it rain on you (bop bop bop)
fool me one time, shame on you (ayy)
fool me twice, can't put the blame on you (ayy)
fool me three times, fuck the peace sign
load the chopper, let it rain on you (bop bop bop)

[verse 4]
my only regret was too young for lisa bonet
my only regret was too young for nia long
now all i'm left with is hoes from reality shows
hand her a script, the bitch prolly couldn't read along
my only regret was too young for sade adu
my only regret, could never take aaliyah home
now all i'm left with is hoes up in greystone
with the stale face 'cause they know it's they song

[chorus 2]
she shallow but the pussy deep, she shallow
she shallow
she shallow but the pussy deep, she shallow (yeah, ayy)
she shallow
she shallow but the pussy deep, she shallow
she shallow
she shallow but the pussy deep, she shallow
she shallow

[chorus 1]
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved
don't save her, she don't wanna be saved

[produced by phonix beats & j. cole]

"
Real Friends,Camila Cabello,pop,"

[verse 1]
no, i think i'll stay in tonight
skip the conversations and the ""oh, i'm fine's""
no, i'm no stranger to surprise
this paper town has let me down too many times

[pre-chorus]
why do i even try?
give me a reason why
i thought that i could trust you, never mind
why all the switching sides?
where do i draw the line?
i guess i'm too naive to read the signs

[chorus]
i'm just lookin' for some real friends
all they ever do is let me down
every time i let somebody in
then i find out what they're all about
i'm just lookin' for some real friends
wonder where they're all hidin' out
i'm just lookin' for some real friends
gotta get up out of this town (oh, ooh)

[post-chorus]
oh, yeah

[verse 2]
i stay up, talkin' to the moon (ooh)
been feelin' so alone in every crowded room
can't help but feel like something's wrong, yeah
'cause the place i'm livin' in
just doesn't feel like home

[chorus]
i'm just lookin' for some real friends
all they ever do is let me down
every time i let somebody in
then i find out what they're all about
i'm just lookin' for some real friends
wonder where they're all hidin' out
i'm just lookin' for some real friends
gotta get up out of this town

[post-chorus]
oh
lookin' for some real friends
oh, oh-oh

[bridge]
i just wanna talk about nothin'
with somebody that means something
spell the names of all the dreams and demons
for the times that i don't understand
tell me, what's the point of a moon like this
when i'm alone again?
can i run away to somewhere beautiful
where nobody knows my name?

[chorus]
i'm just lookin' for some real friends
all they ever do is let me down
then, i let somebody in
but i find out what they're all about
i'm just lookin' for some real friends
all they ever do is let me down
i'm just lookin' for some real friends
gotta get up out of this town, yeah

[post-chorus]
oh (ah)
oh, yeah, ah

"
Kids,OneRepublic,pop,"

[verse 1]
days when
we'd fight, we'd fight 'til i would give in
yeah, perfect disasters
we were reaching, reaching for the rafters

[pre-chorus]
and on most of the days we were searching for ways
to get up and get out of the town that we were raised, yeah, cause we were done
i remember, we were sleeping in cars
we were searching for oz
we were burning cigars
with white plastics tips 'til we saw the sun
and we said crazy things like

[chorus]
i refuse to look back thinking days were better
just because they're younger days
i don't know what's 'round the corner
way i feel right now i swear we'll never change
back when we were kids
swore we would never die
you and me were kids
swear that we’ll never die

[verse 2]
lights down
and we drive and we're drivin' just to get out
yeah, perfect disasters
yeah we were swinging, swinging from the rafters

[pre-chorus]
hey, we were dancing in cars
we were looking for ours
we were naming the stars
after people we knew 'til we had to go
and we were saying things like

[chorus]
i refuse to look back thinking days were better
just because they're younger days
i don't know what's 'round the corner
way i feel right now i swear we'll never change
back when we were kids
swore we would never die
you and me were kids
swear that we'll never die

[bridge]
nights when we kept dancing
changing all our plans and
making every day a holiday
feel the years start burning
city lights they're turning
something 'bout this feels the same

[chorus]
back when we were kids
swore we would never die
you and me were kids
swear that we'll never die
i refuse to look back thinking days were better
just because they're younger days
i don't know what's 'round the corner
way i feel right now i swear we’ll never change

you and me were kids

"
Hey Brother,Avicii,pop,"[verse 1]hey, brotherthere's an endless road to rediscoverhey, sisterknow the water's sweet but blood is thicker[pre-chorus]oh, if the sky comes falling downfor you, there's nothing in this world i wouldn't do[verse 2]hey, brotherdo you still believe in one another?hey, sisterdo you still believe in love?i wonder[pre-chorus]oh, if the sky comes falling downfor you, there's nothing in this world i wouldn't do[chorus]what if i'm far from home?oh brother, i will hear you callwhat if i lose it all?oh sister, i will help you outoh, if the sky comes falling downfor you, there's nothing in this world i wouldn't do"
Really Really,Kevin Gates,pop,"[intro]diamonds really diamondsand i'm shining bright ‘cause i'm really grindin'they ask me if i'm real, i say, ""is you serious?""my daughter gon' love this bitch here[hook]all my diamonds shine ‘cause they really diamondsbad bitches in line, they be really tryingthey ask me if i'm high, i say, ""really really""got money on my mind, i say, ""really really""i look like i been ballin' ‘cause i'm really ballin'i won't apologize, i'm not really sorrythey ask me if i'm lyin', i say, ""really really""i'm really out my mind, i say, ""really really""really really[verse 1]make 'em believe, i made 'em believea lyrical song writer and he can singbringing in money like raking in leavesi was just trying to get paper to sneezeachoo, that was a blessingshe special to you, i don't look at her specialactually, i treat her regularnot being seen, we not making no spectaclegates had her first then he gave her to kevinall the above, we do all the et ceterascared of the feds, had to switch up my cellularhe talking reckless, don't call me back everpassing through gardere to holler at glovershout out to black, shout out to cedricgrey monte carlo, cocaine 911just hollered at trav, i'm like the reverendmy section ridiculous, watch where you steppin'pockets on indigent, can't be too carefulsteve like 'em tall and when they yellowbroke and in college, fresh with low mileagei like 'em black, pretty white teethbody unique, booty on fleekjhené aiko, chewing her cheeksgroceries, please, you know that was me"
Black Widow,Iggy Azalea,pop,"[chorus: rita ora]i'm gonna love ya until you hate meand i'm gonna show ya what's really crazyyou should've known better than to mess with me harderi'm gonna love ya, i'm gonna love ya, gonna love ya, gonna love yalike a black widow, baby[verse 1: iggy azalea]this twisted cat and mouse game always starts the samefirst we're both down to play, then somehow you go astraywe went from nothing to something, liking to lovingit was us against the world, and now we just fucking?it's like i loved you so much, and now i just hate youfeeling stupid for all the time that i gave youi wanted all or nothing for us, ain't no place in betweenmight, might be me believing what you say that you'll never meanlike it'll last forever, but now forever ain't as longif it wasn't for you, i wouldn't be stuck singing this songyou were different from my last, but now you got 'em mirroredand as it all plays out, i see it couldn't be clearernow sing[pre-chorus: rita ora & (iggy azalea)]you used to be thirsty for mebut now you wanna be set freethis is the web, web that you weaveso baby now rest in peace (it's all over with now)"
Such A Boy,Astrid S,pop,"

[verse 1]
say you need more space
what are you, an astronaut?
got the whole universe
so what you coming 'round here for?
said you need more air
are you underwater now?
we're not even in that deep
acting like you're gonna drown

[refrain]
we were dancing late into the day
half asleep and half awake
when the music starts to fade
we were laying, laying in my bed
for one second, you forget
oh, here we go again

[pre-chorus]
you say you want a break, so we break up
it's a mistake, so we make up
and then we make out, you freak out
here we go again
you say we go too fast when you're sober
then have a glass, you're coming over
and then we make out, you freak out

[chorus]
don't be such a boy
boy, boy, boy, boy, boy
boy, boy, boy, boy, boy, boy
boy, boy, boy, boy, boy
boy, boy, boy, boy, boy, boy
don't be such a boy
boy, boy, boy, boy, boy
boy, boy, boy, boy, boy, boy
boy, boy, boy, boy, boy
boy, boy, boy, boy, boy, boy

[verse 2]
you say you need more me
what, am i a toy again?
you play me like you're all i got
but i ain't hanging by your threads
you say you need love
mmm, yeah, we all do
and i want to if you let me

[refrain]
we were dancing late into the day
half asleep and half awake
when the music starts to fade
we were laying, laying in my bed
for one second, you forget
oh, here we go again

[pre-chorus]
you say you wanna break, so we break up
it's a mistake, so we make up
and then we make out, you freak out
here we go again
say we go too fast, but you're sober
then have a glass, you're coming over
and then we make out, you freak out

[chorus]
don't be such a boy
boy, boy, boy, boy, boy
boy, boy, boy, boy, boy, boy
boy, boy, boy, boy, boy
boy, boy, boy, boy, boy, boy
don't be such a boy
boy, boy, boy, boy, boy
boy, boy, boy, boy, boy, boy
boy, boy, boy, boy, boy
boy, boy, boy, boy, boy, boy

[outro]
breathe in, breathe out
we're chilling, so chill out
you're falling to fall out
don't be such a boy
breathe in, breathe out
we're chilling, so chill out
you're falling to fall out
don't be such a boy

"
